TILENAME,PATH,RA_CENT,DEC_CENT
DES1124-0333,DEC_Taiga/multiepoch/delve/r6101/DES1124-0333/p01/coadd,171.06437900,-3.55281500
DES0736+2043,DEC_Taiga/multiepoch/delve/r6101/DES0736+2043/p01/coadd,114.20907900,20.71940700
DES0805+1834,DEC_Taiga/multiepoch/delve/r6101/DES0805+1834/p01/coadd,121.35851200,18.57774100
DES1004+1709,DEC_Taiga/multiepoch/delve/r6101/DES1004+1709/p01/coadd,151.08625200,17.14996300
DES1120+1043,DEC_Taiga/multiepoch/delve/r6101/DES1120+1043/p01/coadd,170.02997900,10.72496300
DES0831+0835,DEC_Taiga/multiepoch/delve/r6101/DES0831+0835/p01/coadd,127.98270000,8.58329600
DES0852-0541,DEC_Taiga/multiepoch/delve/r6101/DES0852-0541/p01/coadd,133.09853300,-5.69448100
DES0803+2000,DEC_Taiga/multiepoch/delve/r6101/DES0803+2000/p01/coadd,120.88727600,20.00551900
DES0910+1000,DEC_Taiga/multiepoch/delve/r6101/DES0910+1000/p01/coadd,137.55249600,10.01107400
DES0939+0418,DEC_Taiga/multiepoch/delve/r6101/DES0939+0418/p01/coadd,144.80524100,4.29996300
DES1020+2251,DEC_Taiga/multiepoch/delve/r6101/DES1020+2251/p01/coadd,155.17120700,22.86107400
DES0915+1334,DEC_Taiga/multiepoch/delve/r6101/DES0915+1334/p01/coadd,138.99899300,13.58051900
DES1024-0833,DEC_Taiga/multiepoch/delve/r6101/DES1024-0833/p01/coadd,156.11859700,-8.55003700
