TILENAME,PATH,RA_CENT,DEC_CENT
DES1221-2749,DEC_Taiga/multiepoch/delve/r6050/DES1221-2749/p01/coadd,185.41941200,-27.82503700
DES1233-3123,DEC_Taiga/multiepoch/delve/r6050/DES1233-3123/p01/coadd,188.47861400,-31.39448100
DES1625-0416,DEC_Taiga/multiepoch/delve/r6050/DES1625-0416/p01/coadd,246.44917500,-4.26670400
DES1350-4706,DEC_Taiga/multiepoch/delve/r6050/DES1350-4706/p01/coadd,207.59428600,-47.10003700
DES1631-2958,DEC_Taiga/multiepoch/delve/r6050/DES1631-2958/p01/coadd,247.91674100,-29.96670400
DES1207-2541,DEC_Taiga/multiepoch/delve/r6050/DES1207-2541/p01/coadd,181.95490100,-25.68337000
DES1229-2041,DEC_Taiga/multiepoch/delve/r6050/DES1229-2041/p01/coadd,187.42146700,-20.68614800
DES1217-2541,DEC_Taiga/multiepoch/delve/r6050/DES1217-2541/p01/coadd,184.33135400,-25.68337000
DES1628-0124,DEC_Taiga/multiepoch/delve/r6050/DES1628-0124/p01/coadd,247.05907300,-1.41114800
DES1209-4957,DEC_Taiga/multiepoch/delve/r6050/DES1209-4957/p01/coadd,182.41089400,-49.95559300
DES1243+1543,DEC_Taiga/multiepoch/delve/r6050/DES1243+1543/p01/coadd,190.88860000,15.72218500
DES1331+0709,DEC_Taiga/multiepoch/delve/r6050/DES1331+0709/p02/coadd,202.79706400,7.15551900
DES1620+0252,DEC_Taiga/multiepoch/delve/r6050/DES1620+0252/p01/coadd,245.23155100,2.87218500
DES1033-3123,DEC_Taiga/multiepoch/delve/r6050/DES1033-3123/p01/coadd,158.37088100,-31.39448100
DES1130-3123,DEC_Taiga/multiepoch/delve/r6050/DES1130-3123/p01/coadd,172.58842100,-31.39448100
DES1335-3040,DEC_Taiga/multiepoch/delve/r6050/DES1335-3040/p01/coadd,203.86745100,-30.68059300
DES1230-3249,DEC_Taiga/multiepoch/delve/r6050/DES1230-3249/p01/coadd,187.69187100,-32.82225900
DES1143-4249,DEC_Taiga/multiepoch/delve/r6050/DES1143-4249/p01/coadd,175.82326200,-42.81670400
DES1213-3123,DEC_Taiga/multiepoch/delve/r6050/DES1213-3123/p01/coadd,183.46065800,-31.39448100
DES1354-3749,DEC_Taiga/multiepoch/delve/r6050/DES1354-3749/p01/coadd,208.70823000,-37.81948100
DES1413-4540,DEC_Taiga/multiepoch/delve/r6050/DES1413-4540/p01/coadd,213.32122800,-45.67225900
DES1405+0126,DEC_Taiga/multiepoch/delve/r6050/DES1405+0126/p01/coadd,211.35809800,1.44440700
DES1220-2415,DEC_Taiga/multiepoch/delve/r6050/DES1220-2415/p01/coadd,185.13897300,-24.25559300
DES1453-2749,DEC_Taiga/multiepoch/delve/r6050/DES1453-2749/p01/coadd,223.35884600,-27.82503700
DES1405+1209,DEC_Taiga/multiepoch/delve/r6050/DES1405+1209/p01/coadd,211.48319300,12.15274100
DES1603+2834,DEC_Taiga/multiepoch/delve/r6050/DES1603+2834/p01/coadd,240.96744300,28.57218500
DES1341-2415,DEC_Taiga/multiepoch/delve/r6050/DES1341-2415/p01/coadd,205.49727000,-24.25559300
DES1042-2541,DEC_Taiga/multiepoch/delve/r6117/DES1042-2541/p03/coadd,160.56682600,-25.68337000
DES1449+1209,DEC_Taiga/multiepoch/delve/r6117/DES1449+1209/p02/coadd,222.43700400,12.15274100
DES1417-3123,DEC_Taiga/multiepoch/delve/r6050/DES1417-3123/p03/coadd,214.40471700,-31.39448100
DES1220+0500,DEC_Taiga/multiepoch/delve/r6117/DES1220+0500/p01/coadd,185.16994200,5.01385200
DES1455-3040,DEC_Taiga/multiepoch/delve/r6050/DES1455-3040/p01/coadd,223.78934100,-30.68059300
DES1420-1915,DEC_Taiga/multiepoch/delve/r6050/DES1420-1915/p01/coadd,215.21355900,-19.25837000
DES1444-0624,DEC_Taiga/multiepoch/delve/r6050/DES1444-0624/p01/coadd,221.02886500,-6.40837000
DES1230-2706,DEC_Taiga/multiepoch/delve/r6050/DES1230-2706/p01/coadd,187.68351000,-27.11114800
DES1155-3457,DEC_Taiga/multiepoch/delve/r6050/DES1155-3457/p01/coadd,178.94733100,-34.96392600
DES1617-1415,DEC_Taiga/multiepoch/delve/r6050/DES1617-1415/p01/coadd,244.25496900,-14.26114800
DES1300+0500,DEC_Taiga/multiepoch/delve/r6050/DES1300+0500/p02/coadd,195.20277700,5.01385200
DES1219-0915,DEC_Taiga/multiepoch/delve/r6050/DES1219-0915/p01/coadd,184.79948600,-9.26392600
DES1010-2623,DEC_Taiga/multiepoch/delve/r6050/DES1010-2623/p01/coadd,152.50252700,-26.39725900
DES1342-2206,DEC_Taiga/multiepoch/delve/r6050/DES1342-2206/p01/coadd,205.50656400,-22.11392600
DES1506+1043,DEC_Taiga/multiepoch/delve/r6050/DES1506+1043/p01/coadd,226.70329900,10.72496300
DES1331-3332,DEC_Taiga/multiepoch/delve/r6050/DES1331-3332/p01/coadd,202.76943900,-33.53614800
DES1527-1207,DEC_Taiga/multiepoch/delve/r6050/DES1527-1207/p01/coadd,231.89066000,-12.11948100
DES1303-1832,DEC_Taiga/multiepoch/delve/r6050/DES1303-1832/p01/coadd,195.86381800,-18.54448100
DES1633-0124,DEC_Taiga/multiepoch/delve/r6050/DES1633-0124/p01/coadd,248.48728400,-1.41114800
DES1526-2458,DEC_Taiga/multiepoch/delve/r6050/DES1526-2458/p01/coadd,231.57243300,-24.96948100
DES1214+0126,DEC_Taiga/multiepoch/delve/r6050/DES1214+0126/p01/coadd,183.50758100,1.44440700
DES1401-1958,DEC_Taiga/multiepoch/delve/r6117/DES1401-1958/p02/coadd,210.47305900,-19.97225900
DES1440-0207,DEC_Taiga/multiepoch/delve/r6050/DES1440-0207/p01/coadd,220.04036600,-2.12503700
DES1041-3206,DEC_Taiga/multiepoch/delve/r6050/DES1041-3206/p02/coadd,160.25473300,-32.10837000
DES1130-4623,DEC_Taiga/multiepoch/delve/r6050/DES1130-4623/p01/coadd,172.69736300,-46.38614800
DES1227+0709,DEC_Taiga/multiepoch/delve/r6050/DES1227+0709/p01/coadd,186.96822800,7.15551900
DES1301-3957,DEC_Taiga/multiepoch/delve/r6050/DES1301-3957/p01/coadd,195.34709000,-39.96114800
DES1524-1124,DEC_Taiga/multiepoch/delve/r6050/DES1524-1124/p01/coadd,231.06955400,-11.40559300
DES1226+0500,DEC_Taiga/multiepoch/delve/r6050/DES1226+0500/p01/coadd,186.60320400,5.01385200
DES1627-2415,DEC_Taiga/multiepoch/delve/r6117/DES1627-2415/p01/coadd,246.99687400,-24.25559300
DES1726-1041,DEC_Taiga/multiepoch/delve/r6117/DES1726-1041/p01/coadd,261.54106200,-10.69170400
DES1204+0335,DEC_Taiga/multiepoch/delve/r6050/DES1204+0335/p01/coadd,181.08772500,3.58607400
DES1004-2541,DEC_Taiga/multiepoch/delve/r6050/DES1004-2541/p01/coadd,151.06101500,-25.68337000
