TILENAME,PATH
DES1133+2543, DEC_Taiga/multiepoch/delve/r6101/DES1133+2543/p01/coadd
DES0910-1207, DEC_Taiga/multiepoch/delve/r6101/DES0910-1207/p01/coadd
DES0857+0835, DEC_Taiga/multiepoch/delve/r6101/DES0857+0835/p01/coadd
DES1124-0333, DEC_Taiga/multiepoch/delve/r6101/DES1124-0333/p01/coadd
DES1105-1458, DEC_Taiga/multiepoch/delve/r6101/DES1105-1458/p01/coadd
DES1001-2124, DEC_Taiga/multiepoch/delve/r6101/DES1001-2124/p01/coadd
DES0900-1415, DEC_Taiga/multiepoch/delve/r6101/DES0900-1415/p01/coadd
DES1021-2041, DEC_Taiga/multiepoch/delve/r6101/DES1021-2041/p01/coadd
DES1058-0333, DEC_Taiga/multiepoch/delve/r6101/DES1058-0333/p01/coadd
DES0816+0043, DEC_Taiga/multiepoch/delve/r6101/DES0816+0043/p01/coadd
DES1145+0835, DEC_Taiga/multiepoch/delve/r6101/DES1145+0835/p02/coadd
DES1003-1124, DEC_Taiga/multiepoch/delve/r6101/DES1003-1124/p01/coadd
DES0706+2126, DEC_Taiga/multiepoch/delve/r6101/DES0706+2126/p01/coadd
DES1035+0543, DEC_Taiga/multiepoch/delve/r6101/DES1035+0543/p01/coadd
DES0854-0207, DEC_Taiga/multiepoch/delve/r6101/DES0854-0207/p01/coadd
DES1053-0416, DEC_Taiga/multiepoch/delve/r6101/DES1053-0416/p01/coadd
DES1023+1334, DEC_Taiga/multiepoch/delve/r6101/DES1023+1334/p01/coadd
DES0803+2751, DEC_Taiga/multiepoch/delve/r6101/DES0803+2751/p01/coadd
DES1054+1626, DEC_Taiga/multiepoch/delve/r6101/DES1054+1626/p01/coadd
DES0751+0209, DEC_Taiga/multiepoch/delve/r6101/DES0751+0209/p01/coadd
DES0852+2751, DEC_Taiga/multiepoch/delve/r6101/DES0852+2751/p01/coadd
DES0801+2043, DEC_Taiga/multiepoch/delve/r6101/DES0801+2043/p01/coadd
DES1140-1458, DEC_Taiga/multiepoch/delve/r6101/DES1140-1458/p01/coadd
DES0937-2124, DEC_Taiga/multiepoch/delve/r6101/DES0937-2124/p01/coadd
DES0831+0126, DEC_Taiga/multiepoch/delve/r6101/DES0831+0126/p01/coadd
DES0918+1334, DEC_Taiga/multiepoch/delve/r6101/DES0918+1334/p01/coadd
DES1052+2043, DEC_Taiga/multiepoch/delve/r6101/DES1052+2043/p01/coadd
DES1142-0416, DEC_Taiga/multiepoch/delve/r6101/DES1142-0416/p03/coadd
DES0656+2917, DEC_Taiga/multiepoch/delve/r6101/DES0656+2917/p01/coadd
DES1006-2041, DEC_Taiga/multiepoch/delve/r6101/DES1006-2041/p01/coadd
DES1109+0917, DEC_Taiga/multiepoch/delve/r6101/DES1109+0917/p01/coadd
DES0953+1751, DEC_Taiga/multiepoch/delve/r6101/DES0953+1751/p01/coadd
DES0910-1250, DEC_Taiga/multiepoch/delve/r6101/DES0910-1250/p01/coadd
DES0939-0041, DEC_Taiga/multiepoch/delve/r6101/DES0939-0041/p01/coadd
DES0831+0835, DEC_Taiga/multiepoch/delve/r6101/DES0831+0835/p01/coadd
DES0809+2000, DEC_Taiga/multiepoch/delve/r6101/DES0809+2000/p01/coadd
DES1038+1543, DEC_Taiga/multiepoch/delve/r6101/DES1038+1543/p01/coadd
DES1107+2543, DEC_Taiga/multiepoch/delve/r6101/DES1107+2543/p01/coadd
DES0926-0833, DEC_Taiga/multiepoch/delve/r6101/DES0926-0833/p01/coadd
DES0802+1917, DEC_Taiga/multiepoch/delve/r6101/DES0802+1917/p01/coadd
DES1137+2334, DEC_Taiga/multiepoch/delve/r6101/DES1137+2334/p01/coadd
DES1106-0915, DEC_Taiga/multiepoch/delve/r6101/DES1106-0915/p01/coadd
DES0919+1252, DEC_Taiga/multiepoch/delve/r6101/DES0919+1252/p01/coadd
DES1040+0252, DEC_Taiga/multiepoch/delve/r6101/DES1040+0252/p01/coadd
DES1042+1834, DEC_Taiga/multiepoch/delve/r6101/DES1042+1834/p01/coadd
DES0855-0541, DEC_Taiga/multiepoch/delve/r6101/DES0855-0541/p01/coadd
DES0932+1043, DEC_Taiga/multiepoch/delve/r6101/DES0932+1043/p01/coadd
DES1136+1209, DEC_Taiga/multiepoch/delve/r6101/DES1136+1209/p01/coadd
DES0922-1749, DEC_Taiga/multiepoch/delve/r6101/DES0922-1749/p01/coadd
DES0915+1334, DEC_Taiga/multiepoch/delve/r6101/DES0915+1334/p01/coadd
DES1137-2249, DEC_Taiga/multiepoch/delve/r6101/DES1137-2249/p01/coadd
DES0934-0250, DEC_Taiga/multiepoch/delve/r6101/DES0934-0250/p01/coadd
DES1139-1332, DEC_Taiga/multiepoch/delve/r6101/DES1139-1332/p01/coadd
DES1020+1500, DEC_Taiga/multiepoch/delve/r6101/DES1020+1500/p01/coadd
DES0957+2208, DEC_Taiga/multiepoch/delve/r6101/DES0957+2208/p01/coadd
DES0948+0752, DEC_Taiga/multiepoch/delve/r6101/DES0948+0752/p01/coadd
DES0857-0458, DEC_Taiga/multiepoch/delve/r6101/DES0857-0458/p01/coadd
DES0853+0626, DEC_Taiga/multiepoch/delve/r6101/DES0853+0626/p01/coadd
DES0938+2043, DEC_Taiga/multiepoch/delve/r6101/DES0938+2043/p01/coadd
DES0902+0500, DEC_Taiga/multiepoch/delve/r6101/DES0902+0500/p01/coadd
DES0858+1709, DEC_Taiga/multiepoch/delve/r6101/DES0858+1709/p01/coadd
DES1102-0833, DEC_Taiga/multiepoch/delve/r6101/DES1102-0833/p01/coadd
DES0814-0833, DEC_Taiga/multiepoch/delve/r6101/DES0814-0833/p01/coadd
DES0909+0543, DEC_Taiga/multiepoch/delve/r6101/DES0909+0543/p01/coadd
DES1153+0709, DEC_Taiga/multiepoch/delve/r6101/DES1153+0709/p02/coadd
DES1015+0335, DEC_Taiga/multiepoch/delve/r6101/DES1015+0335/p01/coadd
DES1125-1207, DEC_Taiga/multiepoch/delve/r6101/DES1125-1207/p01/coadd
DES0808+0835, DEC_Taiga/multiepoch/delve/r6101/DES0808+0835/p01/coadd
